epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,788.341,1.78923,1.39244,1.29809,0.48881,0.49451,0.43124,0.18404,2.10956,1.67728,1.54841,0.0011684,0.0011684,0.0011684
44,804.833,1.84798,1.50305,1.33287,0.59345,0.54542,0.49346,0.19943,2.0322,1.64216,1.48234,0.0011486,0.0011486,0.0011486
45,822.071,1.78379,1.39797,1.31042,0.69982,0.48352,0.52291,0.2151,1.99242,1.57659,1.4873,0.0011288,0.0011288,0.0011288
46,838.606,1.76442,1.34073,1.28391,0.61157,0.49451,0.51765,0.21513,2.04379,1.59617,1.51088,0.001109,0.001109,0.001109
47,856.61,1.77222,1.33735,1.28781,0.68029,0.43956,0.51597,0.21656,2.1263,1.65122,1.56761,0.0010892,0.0010892,0.0010892
48,874.425,1.74011,1.36351,1.28252,0.62009,0.50225,0.48881,0.21369,2.0692,1.65,1.5807,0.0010694,0.0010694,0.0010694
49,892.138,1.70743,1.30933,1.24482,0.4965,0.47683,0.46011,0.18546,2.05421,1.71682,1.57852,0.0010496,0.0010496,0.0010496
50,909.448,1.75196,1.28192,1.28847,0.64844,0.41758,0.47329,0.20735,2.08822,1.68941,1.5821,0.0010298,0.0010298,0.0010298
51,927.907,1.72458,1.2817,1.27276,0.77815,0.42404,0.51915,0.22572,1.97342,1.7307,1.48719,0.00101,0.00101,0.00101
52,944.542,1.72332,1.2343,1.24036,0.61133,0.43956,0.51962,0.19418,2.06467,1.6645,1.49038,0.0009902,0.0009902,0.0009902
53,962.089,1.70207,1.27617,1.24999,0.82046,0.46154,0.56091,0.21765,2.09499,1.63683,1.50069,0.0009704,0.0009704,0.0009704
54,980.293,1.65829,1.20409,1.24592,0.84023,0.41758,0.52927,0.20782,2.07889,1.67473,1.5269,0.0009506,0.0009506,0.0009506
55,997.776,1.66371,1.22649,1.26018,0.74343,0.47253,0.51609,0.20366,2.13488,1.64617,1.54728,0.0009308,0.0009308,0.0009308
